persona_a_id,persona_a_name,persona_b_id,persona_b_name,correlation
1,Libertarian,2,Collectivist,-0.648
1,Libertarian,5,Nationalist,0.339
1,Libertarian,6,Globalist,-0.332
1,Libertarian,7,Tech Optimist,0.143
1,Libertarian,8,Tech Sceptic,-0.037
2,Collectivist,5,Nationalist,-0.089
2,Collectivist,6,Globalist,0.408
2,Collectivist,7,Tech Optimist,-0.254
2,Collectivist,8,Tech Sceptic,0.098
5,Nationalist,6,Globalist,-0.226
5,Nationalist,7,Tech Optimist,-0.191
5,Nationalist,8,Tech Sceptic,0.062
6,Globalist,7,Tech Optimist,-0.213
6,Globalist,8,Tech Sceptic,0.148
7,Tech Optimist,8,Tech Sceptic,-0.229
