question_id,group,group_name,prompt,response_model,mean_score,std_score,bridging_score,bridging_score_0.25,bridging_score_0.50,bridging_score_0.75
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openai:gpt-4.1-mini,3.166667,1.067187,2.633073,2.899870,2.633073,2.366276
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:anthropic/claude-3.5-haiku,3.333333,1.247219,2.709724,3.021529,2.709724,2.397919
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:x-ai/grok-4-fast,3.333333,1.374369,2.646149,2.989741,2.646149,2.302557
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openai:gpt-4.1-mini,3.166667,0.897527,2.717903,2.942285,2.717903,2.493521
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:anthropic/claude-3.5-haiku,3.000000,1.290994,2.354503,2.677251,2.354503,2.031754
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:x-ai/grok-4-fast,2.833333,0.687184,2.489741,2.661537,2.489741,2.317945
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openai:gpt-4.1-mini,2.833333,0.687184,2.489741,2.661537,2.489741,2.317945
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:anthropic/claude-3.5-haiku,3.166667,1.213352,2.559991,2.863329,2.559991,2.256653
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:x-ai/grok-4-fast,2.833333,0.897527,2.384570,2.608951,2.384570,2.160188
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openai:gpt-4.1-mini,2.500000,1.118034,1.940983,2.220492,1.940983,1.661475
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:anthropic/claude-3.5-haiku,3.666667,1.490712,2.921311,3.293989,2.921311,2.548633
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:x-ai/grok-4-fast,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openai:gpt-4.1-mini,3.500000,1.607275,2.696362,3.098181,2.696362,2.294544
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:anthropic/claude-3.5-haiku,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:x-ai/grok-4-fast,2.833333,1.213352,2.226658,2.529995,2.226658,1.923320
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?,openai:gpt-4.1-mini,2.500000,0.763763,2.118119,2.309059,2.118119,1.927178
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?,openrouter:anthropic/claude-3.5-haiku,2.333333,0.745356,1.960655,2.146994,1.960655,1.774316
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?,openrouter:x-ai/grok-4-fast,2.833333,1.572330,2.047168,2.440251,2.047168,1.654086
15,5,Global vs national identity,Should global institutions like the UN have binding authority over national governments on climate policy?,openai:gpt-4.1-mini,3.000000,1.414214,2.292893,2.646447,2.292893,1.939340
15,5,Global vs national identity,Should global institutions like the UN have binding authority over national governments on climate policy?,openrouter:anthropic/claude-3.5-haiku,2.666667,0.745356,2.293989,2.480328,2.293989,2.107650
